lessonId,screenNumber,objective,gameArchetype,simpleScreenText,theAction,contentForGame,errorMessage
L2-M1-T1,3,Core — Spotlight Needs,The Pick One / Spotlight (3-round challenge),Which item is the one Lars 'Needs' to buy before he spends money on what he 'Wants' to buy?,Pick the need in each round.,"Round 1:
❌ [Icon] A new phone case, even though his old one is still fine
✅ [Icon] A new phone case he promised to buy his brother for his birthday
Round 2:
❌ [Icon] A new gaming mouse with lights (his old one still works)
✅ [Icon] A light for his bike to be seen in the dark
Round 3:
❌ [Icon] Buy lunch for all his friends on Monday and have nothing left over
✅ [Icon] Buy lunch for himself with his weekly tuckshop money","• Round 1: Whoops! If your current case is still fine, replacing it is just a want. The one you promised your brother is the true Must-Have!
• Round 2: If the old one's still working, replacing it becomes a 'want' not a 'need'.
• Round 3: Buying lunch for everyone is a nice thing to do, but it is a want, not something he 'needs' to do to look after himself!"
L2-M1-T1,4,Apply — Budget Balance,The Budget Balance,You have $30 left. Check the boxes to buy what you actually need.,Select needs that fit the wallet.,"Wallet: $30
☐ 🚍 Bus Pass ($15)
☐ ⚡ Energy Drink ($10)
☐ 🔌 Phone Cable ($15)
Correct: Bus Pass + Phone Cable","Uncheck the item you don't really 'need'."
L2-M1-T1,5,Apply — Reserve Slider,The Allocation Slider,Lars has $25 total. He needs $20 next week for his brother's phone case. Help him put the money aside so he doesn't spend it. Slide the divider to secure that money now.,Slide until at least $20 is in the reserve.,"Total: $25
Reserve target: $20
Spend zone: Energy Drink ($10)","Not quite! If you leave less than $20 in the reserve, you won't have enough to buy your brother's gift next week. Slide the line to protect the full $20!"
L2-M1-T1,6,Apply — Rank Stack,The Sequence Stack,"Drag the choices in the correct order, starting with what would be best for Lars to do.",Drag cards into best-to-avoid order.,"1. Don't buy anything - keep the $5.
2. Choose something cheaper for $5 to enjoy now.
3. Borrow $5 from dad to buy the $10 bottle.
Correct order: keep → cheaper → borrow","Not quite! Borrowing money creates debt — put this option at the bottom."
L2-M1-T1,7,Reward — Gift Reveal,The Reveal Tap,Fast forward to next week! Tap the gift box to help Lars deliver his promise to Senna.,Tap the gift to reveal the outcome.,Gift box between Lars and Senna,
L2-M1-T1,8,Close — Milestone Splash,Milestone Splash Page,,Standard completion pane with XP and bronze skill unlock.,,
L3-M1-T1,1,Hook — TBD,301,[Draft L3 Screen 1] Reserve concept hook — content TBD,,(Tap to continue),
L3-M1-T1,2,Core — TBD,302,[Draft L3 Screen 2] — content TBD,,(Tap to continue),
L3-M1-T1,3,Core — TBD,303,[Draft L3 Screen 3] — content TBD,,(Tap to continue),
L3-M1-T1,4,Core — TBD,304,[Draft L3 Screen 4] — content TBD,,(Tap to continue),
L3-M1-T1,5,Apply — TBD,305,[Draft L3 Screen 5] — content TBD,,(Tap to continue),
L3-M1-T1,6,Apply — TBD,306,[Draft L3 Screen 6] — content TBD,,(Tap to continue),
L3-M1-T1,7,Reward — TBD,307,[Draft L3 Screen 7] — content TBD,,(Tap to continue),
L3-M1-T1,8,Close — TBD,308,[Draft L3 Screen 8] — content TBD,,(Tap to continue),
L4-M1-T1,1,Hook — TBD,401,[Draft L4 Screen 1] Social pressure hook — content TBD,,(Tap to continue),
L4-M1-T1,2,Core — TBD,402,[Draft L4 Screen 2] — content TBD,,(Tap to continue),
L4-M1-T1,3,Core — TBD,403,[Draft L4 Screen 3] — content TBD,,(Tap to continue),
L4-M1-T1,4,Core — TBD,404,[Draft L4 Screen 4] — content TBD,,(Tap to continue),
L4-M1-T1,5,Apply — TBD,405,[Draft L4 Screen 5] — content TBD,,(Tap to continue),
L4-M1-T1,6,Apply — TBD,406,[Draft L4 Screen 6] — content TBD,,(Tap to continue),
L4-M1-T1,7,Reward — TBD,407,[Draft L4 Screen 7] — content TBD,,(Tap to continue),
L4-M1-T1,8,Close — TBD,408,[Draft L4 Screen 8] — content TBD,,(Tap to continue),
